text,channel_id
Российская часть аммиакопровода Тольятти Одесса отсечена от украинской находится в исправном состоянии и безопасности Трансаммиак,-1001394050290
Численность населения РФ с денежными доходами ниже границы бедности в первом квартале 2023 года составила 196 миллиона человек или 135 следует из предварительных данных Росстата.,-1001394050290
Исполком Международного олимпийского комитета рекомендовал сессии организации отозвать признание Международной боксерской ассоциации. При этом МОК выступает за сохранение бокса в программе Олимпийских игр 2024 года.,-1001394050290
Информация об обнаружении в источниках питьевой воды в России возбудителя холеры распространяемая в мессенджерах и социальных сетях не соответствует действительности об этом ТАСС заявили в прессслужбе Роспотребнадзора. Видим что в мессенджерах и социальных сетях снова распространяется сообщение о появлении в воде возбудителей холеры. Это сообщение фейк годичной давности. Информация об обнаружении в источниках питьевой воды холерных вибрионов не соответствует действительности пояснили агентству в прессслужбе ведомства.,-1001394050290
Лес в заповеднике на Кинбурнской косе в Херсонской области загорелся изза обстрела ВСУ местные власти,-1001394050290
Казахстан начнет выдавать карту казаха с июля 2023 года. Карта Ата жолы Путь предков предназначена для этнических казахов проживающих за рубежом. По этой карте они смогут получить ВНЖ Казахстана на 10 лет при этом не теряя иностранное гражданство. trtnarusskom,-1001099350027
Вицеспикер Гордумы Краснодара Геннадий Уфимцев поедет добровольцем на СВО на Украине. Уфимцев заявил что будет думать как совместить службу с работой депутата и призвал тысячи краснодарцев поддержать его процитировав песню Священная война.,-1001099350027
ДНР готова помочь Херсонской области в ликвидации последствий затопления заявил РИА Новости Пушилин,-1001101170442
Вицепремьер Ульяновской области Сергей Кучиц объявил что уходит добровольцем в зону СВО. Чиновник утверждает что хочет применить на фронте свои медицинские знания поскольку является врачом.,-1001099350027
Вон собака погнали Щас я буду за тобой нырять. Кадры спасение собаки застрявшей в затопленном Куйбышево 64 км от Херсона. Спасатели несколько часов объезжали село пока не наткнулись на песика. По их словам изза затопленных заправок в воздухе пахнет бензином а сама вода черная. Почти все частные дома в районе где работали мужчины затоплены до крыш.,-1001254661214
Сальдо сообщил что в пунктах временного размещения сейчас находятся 4 тыс жителей Херсонской области из затопленных районов при необходимости есть резерв ещё на 55 тыс,-1001101170442
С декабря 2022 года по май 2023го запчасти на китайские автомобили применяемые при кузовном ремонте подорожали в России более чем на 17 НАПИ. Средняя цена на запчасти для китайских автомобилей в мае 2023 года по сравнению с апрелем выросла на 08 по сравнению с декабрем 2022 г. на 173. В частности средняя цена на оригинальные запасные части по страховой корзине для китайских легковых машин составляла 462 тыс. рублей в декабре 2022 года. В апреле 2023го тот же набор стоил в среднем 537 тыс. рублей в мае 542 тыс. рублей.,-1001201661496
Российские спецслужбы пытаются подавить сигнал GPS не только в центре Москвы чтобы защитить Кремль от вражеских беспилотников и ракет. Глушилки повлияли на работу авиалиний в Финляндии и странах Балтии изза этого авиаперевозчикам им пришлось использовать альтернативные методы навигации сообщает Bloomberg. Источник радиопомех похоже находится в Ленинградской области они повлияли на авиаперевозки но на земле GPS доступен сообщило эстонское агентство по защите прав потребителей. В последние дни наблюдаются перебои в работе GPS в разных частях Эстонии говорится в электронном письме транспортного ведомства страны. В Минобороны России не ответили на просьбу Bloomberg о комментарии.,-1001099350027
 Максимальная концентрация макро в новом выпуске Индекса недели. Бюджетное правило рубль сокращение добычи ОПЕК цены на нефть. А еще поговорим про возможную отмену ЛДВ для иностранных бумаг. Вы же будете скучать по льготе Смотреть на YouTube,-1001498653424
Набор добровольцев продолжается Присоединяйся к нашей команде настоящих мужчин В городах России работают Центры набора в ЧВК Вагнер. В них можно получить дополнительную информацию о работе в ЧВК Вагнер и вам помогут устроиться на работу. Ищите Центр набора в своём городе Ключевые условия контракт с окладом от 240 тыс. руб. и хорошие премии за результаты страхование здоровья и жизни гарантия всех выплат предоставляется современная спецодежда и лучшее снаряжение коллектив нацеленный на эффективную работу и на победу. Возраст от 22 до 50 наличие срочной службы необязательно. Пригожин 2023 Подписаться,-1001891900812
 Таких фестивалей как Великое русское слово нужно проводить намного больше Об этом заявил военный эксперт автор telegramканала Рыбарь Михаил Звинчук. __Крым находится сейчас в тылу. Это не какойто пир во время чумы это место где лидеры общественного мнения и политики обмениваются определёнными тезисами о чёмто договариваются чтото выполняют. Этих мероприятий должно быть больше они должны нести свет новороссийского великорусского просвещения в массы подчеркнул Звинчук. __ Напомним в эти дни Крыму проходит Международный фестиваль Великое русское слово. Крым 24 tvcrimea24,-1001147336903
Известия публикуют кадры поражения очередной САУ 2С1 Гвоздика с помощью дронакамикадзе Ланцет в конце видео видно возгорание,-1001498939244
В Красноярском крае бывший депутат Тасеевского районного совета Александр Хаконов сбежал в зону СВО и вступил в ЧВК Вагнер после того как суд приговорил его к девяти годам и восьми месяцам колонии строго режима за убийство жены. Об этом пишет портал NGS24 со ссылкой на информированный источник. По версии следствия Хаконов убил жену 28 марта 2022 года во время распития алкоголя. Мужчина разгневанный высказываниями в свой адрес схватил нож и нанес жене удары в область грудной клетки. От полученных ранений она сразу скончалась рассказали в прокуратуре. По словам источника после объявления судом приговора Хаконов находясь в СИЗО решил вступить в ЧВК. И уже отправился на фронт избежав наказания.,-1001099350027
Папе римскому Франциску провели операцию на кишечнике в римской клинике Джемелли сообщает в среду Associated Press. В Ватикане сообщили что операция продлилась три часа и прошла без осложнений. Понтифик находился под общим наркозом.,-1001394050290
Евгений Пригожин показывает образцовые блиндажи ЧВК Вагнер. Экскурсия в подземный ЖК Вагнер начинается с полноценной русской бани которую оборудовали трёхсотые. Деревянные комнаты для личного состава чистые уютные и просторные. В блиндажах даже есть плазмы. Пригожин иронично называет телевизор окном в Европу Пригожин 2023 Подписаться,-1001891900812
Украинский контрацептив заявил в эфире телеканала Дождь что Россию нужно уничтожить. Разговоров с этой обезьяной с дикой неотёсанной необразованной тупой обдолбанной этим русским миром и этими лживыми ложными античеловеческими и антигуманными идеями нет. Эту обезьяну надо уничтожать сказало средство конрацепции.,-1001783083983
Invite Agency и Insight People основные выгодоприобретатели запущенных процессов так как обе компании верифицированы к участию в предвыборной кампании 2024 года. ,-1001099350027
Главное отличие MMI от всех экономических каналов что мы не предполагаем а МЫ ЗНАЕМ... __Справочно____ MMI 1 среди экономических каналов. Создан в 2017 году. __,-1001498653424
Совфед РФ одобрил закон который обязывает призванных на военную службу сдавать загранпаспорта государству. Требование сдавать загранпаспорта в случае призыва касается мужчин в возрасте от 18 до 27 лет которые не пребывают в запасе и в отношении которых уже вынесено решение призывной комиссии о призыве. Паспорт нужно сдать в орган выдавший этот документ миграционный отдел МВД или МФЦ. Сделать это необходимо в течение пяти рабочих дней с момента когда владельца паспорта уведомили об ограничении права его права на выезд из страны.,-1001099350027
AdIndex представил рейтинг медиабайеров в России по итогам 2022 года. Рынок однозначно изменился в этой категории произошло импортозамещение. СберМаркетинг который по итогам 2021 года не упоминался в рейтинге сейчас занимает 2 место с оборотом в 176 млрд рублей. На первом месте оказался лидер прошлогоднего рейтинга Media Instinct с оборотом в 217 млрд рублей.,-1001099350027
Киевский режим не считается с потерями и будет предпринимать новые попытки наступления заявил в интервью РИА Новости Пушилин,-1001101170442
Ситуация после разрушения Каховской ГЭС ухудшится в ближайшие часы ООН Спутниковые снимки низовий Днепра до и после прорыва дамбы. t.meRVvoenkor,-1001355540894
 Изза обвала дороги в районе села Лучистое изменился график движения рейсовых автобусов С 8 июня рейсовый автобус 107 будет двигаться по обычному расписанию но через 5й км Судакского шоссе до остановки Школа Маршрут 107А будет двигаться по прежнему маршруту через Верхнюю и Нижнюю Кутузовку до остановки Лаванда. Об этом сообщила глава Алушты Галина Огнёва. Фото Галина Огнёваtelegram Крым 24 tvcrimea24,-1001147336903
Российским региональным администрациям и парламентам спустили сверху установку отправить в зону СВО несколько чиновников и депутатов. Это нужно для того чтобы показать что власти не боятся контрнаступления ВСУ. Информация о получении подобных установок поступает сразу из целого ряда регионов в разных федеральных округах. В частности очень просят чтобы хоть ктото сейчас заключил контракт с Минобороны и поехал бы на фронт. Это касается и чиновников и депутатов. Если про парламентариев говорить то допустимо если в зону СВО поедут депутатымедики которые смогут оказывать волонтерскую помощь. Тема довольно важная по ней необходимо до конца месяца будет предоставить подробный отчет в Москву кто и как был отправлен в зону СВО а если этого сделать не получилось то это нужно детально объяснить и обосновать отмечает один из инсайдеров. Taynaya_kantselyariya ,-1001099350027
Губернатор Белгородской области Гладков сообщил что на территории Новой Таволжанки противника нет и разместил видео с кадрами посещения села,-1001394050290
Белгородский губернатор Гладков сообщил что побывал в Новой Таволжанке по его словам на сегодняшний день противника там нет. ,-1001099350027
ФБР помогало СБУ цензурировать публикации в Twitter российских политиков отдельных журналистов и СМИ включая РИА Новости и RT пишут западные СМИ со ссылкой на утечку документов. Списки лиц которых Киев обвинял в дезинформации получал от СБУ спецагент ФБР Кобзанец прикомандированный к посольству США в Киеве а тот пересылал их Twitter. Из 163 аккаунтов внесенных в список Twitter приостановил работу 34.,-1001101170442
В Петербурге задержали гражданина Беларуси которого объявили в международный розыск изза критики Лукашенко во Вконтакте 34летнего мужчину задержали 6 июня около шести вечера у Владимирского собора уточняет Фонтанка. По версии следствия Беларуси осенью 2021 года он опубликовал несколько постов во ВКонтакте с критикой Лукашенко. Его объявили в международный розыск в январе 2022 года.,-1001099350027
ЛГБТактивисты пришли развращать детей в армянскую школу в ЛосАнджелесе но были избиты родителями учеников.,-1001783083983
Танки врага пытались прорваться в Новую Таволжанку но smkb уничтожены нашими На кадрах бойцов танки Т80БВ брошенные украинскими боевиками и позже добитые из гранатомётов нашими бойцами при новой попытке прорыва ВСУ в Новую Таволжанку. Перед этим предателинеонацисты на этих танках уже заезжали на южные окраины села в итоге они были уничтожены российскими бойцами. t.meRVvoenkor,-1001355540894
Поражение двух британских бронеавтомобилей Mastiff во время боев за Новодонецкое. Первый броневик получил в бок противотанковую ракету и задымился. Один из членов экипажа успел выпрыгнуть и сбежать второму повезло меньше и машина вместе с ним уныло продолжила ползти вперед пока не съехала на обочину и не уперлась в препятствие. Второй Мастиф был выведен из строя огнем минометчиков. На кадрах видно как противник вытаскивает из броневика своих раненных. Саму подбитую машину затем бросят а эвакуировать пострадавших придется на руках через все поле. milinfolive,-1001498939244
Сбитый на Запорожском направлении украинский разведывательный БПЛА Лелека100 бортовой номер 955. ZA_FROHT,-1001498939244
Украинский президент Зеленский признался что шокирован реакцией ООН и Красного Креста на прорыв дамбы Каховской ГЭС. Об этом он сообщил в интервью Bild. По словам Зеленского крупнейшие международные организации либо вообще не дали ответа на запрос о помощи либо он был по сути отказом в дипломатических формулировках. Президент Украины заявил что шокирован такой реакцией. То что сейчас происходит это трагедия. Экологическая катастрофа и человеческая катастрофа. Люди животные погибли. С крыш затопленных домов люди могут видеть проплывающих мимо утопленников. Это можно видеть с другой стороны. Вывезти людей из оккупированной части Херсонской области очень сложно подчеркнул Зеленский. каховскаягэс,-1001099350027
Украинские войска пытались проломить линию обороны в ДНР с использованием большого количества техники одномоментно заявил РИА Новости Пушилин. По его словам российские подразделения сделали определенные выводы по другим этапам спецоперации были готовы к этим действиям и успешно отразили атаку,-1001101170442
Не играете с детьми Они станут неудачниками Специально для тех кто не знает как научить ребенка думать быстрее других открыли канал Любопытные дети Здесь публикуют домашние опыты и эксперименты меняющие взгляд на мир каждого ребенка. После подписки ваш ребенок раскроет свой потенциал exp_kids,-1001498939244
 Иностранцы готовы массово переезжать в Россию __После начала СВО мы много работали с иностранцами. Люди готовы массово переезжать в Россию. Просто потому что здесь их не будут преследовать за веру за то что они традиционной ориентации. Идея Новороссии не противоречит идее традиционализма сообщил военный эксперт автор telegramканала ____Рыбарь Михаил Звинчук.__ Также историк политолог заведующий отделом Украины института стран СНГ Иван Скориков добавил что Новороссия исторически была местом для смелых людей которые не ужились в революционной Европе. __Они приезжали сюда становились русскими служили русскому государству и строили новую Россию сказал Скориков. __ Крым 24 tvcrimea24,-1001147336903
Макрон в разговоре с Зеленским заявил что Франция в ближайшие часы направит Украине помощь в связи с ЧП на Каховской ГЭС. каховскаягэс ,-1001099350027
Наступление ВСУ пошло не по плану противник ломаются и впадает в состояние фрустрации Замначальника Росгвардии по ДНР А. Ходаковский оценил интенсивные атаки врага в последние дни Противник перезагружается. Сейчас его действия можно назвать мелкой моторикой многовекторность имеет и свои минусы. Он не выдохся но понял что не совсем адекватно оценил готовность своих насильно отмобилизованных солдат умирать. Стычки последних дней показали что при упорстве с нашей стороны противник ломается и впадает в состояние фрустрации как же так нам говорили что русня сразу побежит а они стреляют убивают нас... чтото тут не совсем так как нам обещали... t.meRVvoenkor,-1001355540894
